"ID","K39","P31","Li7","Al27","S34","Fe54","Mn55","Co59","Ni60","Cu63","Zn66","As75","Se78","Mo98","Cd111"
"E_001",5888.311451,1743.118142,0.012869882,3.845879333,1152.944236,27.59339808,54.53990772,0.188765445,0.813897465,7.365774443,22.06969766,0.004603502,0.078727289,0.101190184,0.00766589
"E_002",7013.400166,2244.68425,0.011931612,5.825639221,1600.441818,35.49158648,52.57114203,0.282940026,0.648418658,8.068232162,10.1086613,0.005609539,-0.043177407,0.14549922,0.021107826
"E_004",7966.273447,2311.056644,0.021231577,8.036046831,1039.097749,39.13434474,36.664748,0.204520839,0.555300335,8.369119967,24.30491035,0.005811993,-0.099479389,0.161181941,0.006236906
"E_005",7514.088622,2315.675046,0.023306263,9.482050637,1091.607046,40.22041153,43.24367607,0.201085208,0.660281969,9.385391901,17.75315743,0.004597548,0.03361551,0.16304633,0.006881962
"E_006",7608.463923,1995.192533,0.058812769,29.32960533,1096.870563,75.2361385,53.64704601,0.353459542,0.103596911,9.068968246,16.65683944,0.013593336,0.122610719,0.184343717,0.008106347
"E_007",6120.525902,1908.805035,0.013933974,6.115421962,1213.624852,30.84618033,67.89663145,0.233101325,0.687711185,7.99061821,12.19792217,0.004382589,0.06572541,0.139915224,0.004713937
"E_008",4567.317496,2008.564757,0.037247783,11.17633337,1349.574062,42.52178868,82.73278846,0.318521771,0.940657263,7.753446611,16.61125163,0.008325781,0.05516202,0.131712144,0.215261904
"E_009",6272.923113,2081.468725,0.018202773,7.539862842,1410.133893,28.90316541,56.0355102,0.157284287,0.628594839,8.769453642,14.5029827,0.005118577,0.199532043,0.125924007,0.004821006
"E_010",8163.801234,2401.009462,-2.555e-05,0.748923063,682.5802519,4.1329280855,51.47730868,0.0240148495,0.103596911,10.54184451,29.60502854,0.037091722,0.090372895,0.382809636,0.015254653
"E_011",8162.05587,2862.158732,0.009368071,2.785220726,2183.855856,28.50058598,33.44925102,0.096942674,0.429100334,11.4023106,17.16506786,0.009736819,0.039616838,0.147265726,0.012405878
"E_012",6191.560049,2365.631162,0.026465784,10.53144569,1288.805074,39.25911339,56.62508025,0.139092506,0.683843406,9.009216564,14.58656406,0.006576007,1.136461121,0.181829203,0.003671579
"E_013",6245.207426,1910.289212,0.020084693,7.833136152,1519.466562,41.05183681,80.97299856,0.26791135,0.863386048,7.815821533,15.03511334,0.003562122,-0.206702694,0.127457242,0.002491942
"E_014",5325.603581,1679.93655,0.014357346,5.152716078,930.82775,28.78922772,70.00813205,0.121658295,0.546039501,8.078510967,13.77556841,0.003780766,-0.931147949,0.12166126,0.004558681
"E_015",6525.190016,1854.601375,0.049779705,19.87606793,1197.893213,64.5938365,147.4309011,0.257470887,0.824355578,7.678716213,20.46661829,0.010008469,-0.142380489,0.177814959,0.006703176
"E_016",6141.001483,2145.714597,0.017299614,6.766471064,1674.467158,33.28773119,74.11879611,0.177028978,0.666377793,8.714352455,12.98976758,0.005308851,0.139025873,0.16321042,0.007306049
"E_019",6989.868846,1927.863214,0.021766007,9.365613285,1465.755487,39.0126413,125.7401258,0.218223245,1.009950895,8.210049211,20.04854825,0.006451497,0.140751143,0.118356568,0.007251806
"E_020",5677.845244,2122.16844,0.01273046,5.089760175,1053.498009,31.6634835,47.39844141,0.141202715,0.588032429,8.917257802,11.96446285,0.00423513,-0.278970112,0.167618626,0.005203386
"E_022",6895.615013,2245.385595,0.021231165,7.440318712,1574.961231,37.14097299,41.89817419,0.112612765,0.624426785,9.307781365,13.46350072,0.006263871,0.164807838,0.155897781,0.004233107
"E_023",7670.928898,1662.856475,0.032387486,18.70808292,1612.255745,58.02679894,37.28919653,0.153667812,0.919254566,7.147362305,8.38328775,0.009873941,0.474807298,0.130853423,0.006014047
"E_024",7054.823537,2604.363272,0.022281151,8.56702318,1413.832899,34.93323798,25.86539894,0.105795855,0.577188778,9.772884761,13.06680724,0.005490232,0.079651301,0.210569898,0.006849612
"E_025",6562.71526,2074.741487,0.023445036,8.80117583,1387.921988,35.05305136,48.23083452,0.113587515,0.61122383,8.393946855,14.50026231,0.005610754,0.028976579,0.231671074,0.004446827
"E_026",7474.126417,2802.931702,0.048591012,17.26186798,1265.282418,60.6757829,44.01244493,0.221272922,0.815339982,8.497041668,23.67989958,0.015603737,0.092779279,0.208706954,0.022817528
"E_027",6487.369837,2100.560425,0.036396793,14.99312999,1098.429742,46.22383262,117.0829414,0.214339612,0.774553729,7.785202054,27.60041524,0.015088125,0.051690199,0.149589199,0.006600481
"E_028",6378.367888,2088.574718,0.035758287,14.91096866,1745.87433,54.63343321,91.44492515,0.153776182,0.774288788,8.254036512,16.07244365,0.019433516,-0.91805499,0.145293964,0.005454948
"E_029",6577.627916,2373.920201,0.019841381,6.117107534,1800.280338,38.84649338,39.99643718,0.102043477,0.516232887,9.790344993,11.05692587,0.008518974,0.149212721,0.187558164,0.014248747
"E_030",9764.482893,3530.201225,0.017820733,6.10678436,1850.690713,33.11424964,39.72407167,0.120809721,0.431215627,9.598082224,15.21069722,0.009221131,0.046007204,0.269851251,0.030247231
"E_031",5959.387625,1966.149059,0.0088414,2.975010599,1147.746295,25.86567599,53.53017892,0.090866427,0.424623227,7.963637224,9.94854946,0.003104279,0.152479416,0.174014438,0.002962177
"E_032",8246.836383,2907.228245,0.029903024,11.62209669,1291.17368,41.09882905,80.93965175,0.188235886,0.584881374,9.834819834,18.47059201,0.007437863,0.317959391,0.20401747,0.00698325
"E_033",5812.79023,2014.163073,0.021689799,8.501044244,1130.133733,33.47476066,72.673377,0.103922395,0.635148911,7.129622025,10.95851576,0.005883887,-0.209875736,0.165481033,0.00481189
"E_034",6516.826988,2298.47192,0.053523788,17.98535724,1318.909081,65.01082908,59.76691389,0.202829844,0.688384522,8.155209049,14.51636066,0.010831973,0.126099912,0.199575145,0.012706547
"E_035",7357.856456,2632.342929,0.056187913,23.40275395,1461.180555,68.59276833,73.66770388,0.221249954,0.877543238,9.877759959,20.38073391,0.013266345,0.161403401,0.194577639,0.025234654
"E_036",7696.827217,2737.95089,0.033694866,10.61224603,1380.077232,41.5517533,36.81181001,0.263846847,0.813412859,9.047303663,49.72979495,0.012793381,0.364275963,0.186600126,0.015205131
"E_037",6919.042276,1998.787915,0.015707608,5.971556462,1095.757612,29.46403157,38.39843535,0.108114084,0.520301398,9.254656223,15.28787922,0.004201467,1.429169311,0.143394633,0.010565285
"E_038",6073.668167,1973.06164,0.020938588,8.418366647,1156.058734,33.43202714,48.3689013,0.144811219,0.668777439,7.915009769,26.17744391,0.00501691,-0.003122328,0.174108498,0.008714494
"E_039",6528.727382,2188.384423,0.057004455,18.80462943,1374.006772,71.77324576,97.03145447,0.280101137,0.900370537,8.673645197,18.57385284,0.017162841,0.131282814,0.170726824,0.009535418
"E_041",6225.30312,1990.229589,0.045723006,17.65696375,1232.008155,52.63598834,53.46381221,0.165092857,0.91250827,8.010778517,13.61154574,0.008150989,0.043331097,0.173763265,0.005944341
"E_042",7728.038244,2218.360355,0.079610694,33.94294985,1003.842518,84.55912716,84.18626385,0.294751248,0.895012845,8.170784221,15.55863734,0.017049826,1.092514436,0.221706994,0.006325182
"E_043",8804.845575,2430.689973,0.008666844,2.097751577,1098.414533,23.11668867,17.79179364,0.104036551,0.515479535,10.5437839,11.38225146,0.001804365,0.034980504,0.210983442,0.005211411
"E_044",10181.0862,2520.867494,0.011203178,2.87259105,2015.09922,26.61226578,25.92364716,0.066043598,0.40958244,10.62882252,14.05422407,0.002654478,0.09416796,0.214678124,0.004692913
"E_045",6523.699503,1993.162031,0.018208492,6.275924209,1168.869428,33.4874927,53.91804971,0.115190348,0.702756056,10.01265879,14.79421868,0.00497311,0.13915858,0.145784916,0.006593107
"E_046",7031.097481,2443.023945,0.01366099,3.890496119,1510.964181,25.73186398,57.3221063,0.122048377,0.506992415,7.961821032,17.44444235,0.004469116,0.06086497,0.148436299,0.007382634
"E_047",8283.802909,2664.458954,0.02009533,12.26145391,2126.001872,43.44513227,93.60125416,0.160164105,1.051487025,12.46906564,26.06457604,0.011283839,-0.6420399285,0.198236827,0.005206917
"E_048",8899.093668,2449.9084,0.01276929,4.498020354,1706.530796,32.49357316,90.02047479,0.138440308,0.614882082,9.150804313,19.05601677,0.005897861,0.048338316,0.164917359,0.010028518
"E_049",6892.023258,2124.219056,0.007675085,2.653057075,1212.527692,21.6384468,21.92561751,0.087806758,0.449032686,7.940474489,9.821068494,0.006147462,-0.01396383,0.172021389,0.048607601
"E_050",7103.025947,2454.973903,0.007378926,3.265556606,1213.908764,23.59239243,26.87870037,0.082087748,0.379668832,9.452383658,12.80804301,0.006014553,0.04122131,0.318121057,0.0055248
"E_051",7487.235683,2398.963233,0.012162484,3.860697088,1744.415655,28.79357447,32.36829238,0.091947382,0.502107889,10.12981681,11.29487349,0.010682412,-0.755786981,0.170647622,0.002676704
"E_052",10426.72598,2492.043481,0.013492585,4.509366007,1068.941111,22.8279668,20.38304438,0.083861304,0.433978963,10.61965904,18.2188372,0.002126167,0.137109614,0.207630262,0.008266562
"E_053",9973.878835,2262.121562,0.002132644,2.810298806,1520.872607,20.33859735,21.39579439,0.150106563,0.526092903,10.96008996,10.46485043,0.002960352,-0.384117825,0.151114975,0.001965481
"E_054",6873.234856,2404.909944,0.027704697,9.812019739,1203.669274,35.05510271,34.85727728,0.138013894,0.692107374,8.892502011,13.69669785,0.006222432,-0.013403813,0.197904113,0.012108373
"E_055",7678.958405,2498.725248,0.020940417,6.839025928,1182.855259,28.02518384,53.26902998,0.205467206,0.672326815,8.52332821,47.22422859,0.006937585,-0.010529468,0.161815894,0.012053613
"E_056",7546.075543,1889.843873,0.031664981,13.49783441,1489.579407,42.14881767,45.06289051,0.129181189,0.683527046,8.560148602,11.22491432,0.007283927,-0.6420399285,0.160319788,0.003428277
"E_057",8106.543586,2436.896002,0.008517438,3.899901264,1465.246498,25.79433038,37.05406879,0.115645903,0.42720277,8.541713392,23.37398444,0.002693693,-0.094333391,0.229534198,0.004616856
"E_058",5144.77631,2118.897832,0.0174685,7.317132038,1308.984483,31.64299098,52.78774223,0.137077188,0.52381066,7.98077336,14.92123862,0.005215509,-0.6420399285,0.194628984,0.003748758
"E_059",6699.683419,2159.646135,0.018387682,7.349553505,1299.037982,33.68660329,28.3729879,0.120892462,0.599761047,7.996775967,20.23779235,0.005812225,0.187951406,0.184302391,0.00462108
