"index","trait","values","flag","transf","transf_val"
1,"Ca44",15894.22342,"Normal","",NA
1,"Ca44",13155.45463,"Normal","",NA
1,"Ca44",14182.50581,"Normal","",NA
1,"Ca44",22550.82189,"Normal","",NA
1,"Ca44",15982.76017,"Normal","",NA
1,"Ca44",17506.88346,"Normal","",NA
1,"Ca44",22565.64689,"Normal","",NA
1,"Ca44",17109.42995,"Normal","",NA
1,"Ca44",18226.89878,"Normal","",NA
1,"Ca44",19408.67228,"Normal","",NA
1,"Ca44",22534.40097,"Normal","",NA
1,"Ca44",18730.34027,"Normal","",NA
1,"Ca44",20355.78499,"Normal","",NA
1,"Ca44",25851.94375,"Normal","",NA
1,"Ca44",27377.39655,"Normal","",NA
1,"Ca44",18518.361,"Normal","",NA
1,"Ca44",22853.95038,"Normal","",NA
1,"Ca44",25803.61489,"Normal","",NA
1,"Ca44",13236.9172,"Normal","",NA
1,"Ca44",19000.36226,"Normal","",NA
1,"Ca44",19336.70443,"Normal","",NA
1,"Ca44",26083.37325,"Normal","",NA
1,"Ca44",21790.24571,"Normal","",NA
1,"Ca44",26609.45144,"Normal","",NA
1,"Ca44",21220.34423,"Normal","",NA
1,"Ca44",21256.05734,"Normal","",NA
1,"Ca44",18312.08255,"Normal","",NA
1,"Ca44",20274.85298,"Normal","",NA
1,"Ca44",18781.78422,"Normal","",NA
1,"Ca44",19791.50792,"Normal","",NA
1,"Ca44",27901.35237,"Normal","",NA
1,"Ca44",25225.61744,"Normal","",NA
1,"Ca44",16495.25144,"Normal","",NA
1,"Ca44",19333.9141,"Normal","",NA
1,"Ca44",18680.59474,"Normal","",NA
1,"Ca44",18322.05732,"Normal","",NA
1,"Ca44",15695.25435,"Normal","",NA
1,"Ca44",8408.306818,"Normal","",NA
1,"Ca44",12022.34457,"Normal","",NA
1,"Ca44",18577.16075,"Normal","",NA
1,"Ca44",18603.15005,"Normal","",NA
1,"Ca44",24950.25987,"Normal","",NA
1,"Ca44",20465.62368,"Normal","",NA
1,"Ca44",15346.50117,"Normal","",NA
1,"Ca44",16798.62316,"Normal","",NA
1,"Ca44",20261.5122,"Normal","",NA
1,"Ca44",10914.20327,"Normal","",NA
1,"Ca44",9068.399833,"Normal","",NA
1,"Ca44",24210.5198,"Normal","",NA
1,"Ca44",22023.66676,"Normal","",NA
1,"Ca44",14070.61991,"Normal","",NA
1,"Ca44",15418.73965,"Normal","",NA
1,"Ca44",26223.47014,"Normal","",NA
1,"Ca44",19305.2098,"Normal","",NA
1,"Ca44",23210.81647,"Normal","",NA
1,"Ca44",21903.85,"Normal","",NA
1,"Ca44",18442.17637,"Normal","",NA
1,"Ca44",12517.16026,"Normal","",NA
1,"Ca44",22532.76613,"Normal","",NA
1,"Ca44",13691.22354,"Normal","",NA
1,"Ca44",4671.557873,"Normal","",NA
1,"Ca44",15644.61585,"Normal","",NA
1,"Ca44",22022.85601,"Normal","",NA
1,"Ca44",7402.421615,"Normal","",NA
1,"Ca44",22655.76327,"Normal","",NA
1,"Ca44",23917.49152,"Normal","",NA
1,"Ca44",21681.04111,"Normal","",NA
1,"Ca44",12033.44298,"Normal","",NA
1,"Ca44",24841.95381,"Normal","",NA
1,"Ca44",23395.89244,"Normal","",NA
1,"Ca44",20417.82584,"Normal","",NA
1,"Ca44",26267.09217,"Normal","",NA
1,"Ca44",14624.67939,"Normal","",NA
1,"Ca44",9312.577815,"Normal","",NA
1,"Ca44",13636.12832,"Normal","",NA
1,"Ca44",20161.10931,"Normal","",NA
1,"Ca44",21169.92632,"Normal","",NA
1,"Ca44",24673.25644,"Normal","",NA
1,"Ca44",20656.16786,"Normal","",NA
1,"Ca44",8506.695238,"Normal","",NA
1,"Ca44",15937.08507,"Normal","",NA
1,"Ca44",13499.15466,"Normal","",NA
1,"Ca44",17197.87689,"Normal","",NA
1,"Ca44",9800.624172,"Normal","",NA
1,"Ca44",13416.37599,"Normal","",NA
1,"Ca44",16948.64148,"Normal","",NA
1,"Ca44",17584.87302,"Normal","",NA
1,"Ca44",14091.51963,"Normal","",NA
1,"Ca44",20364.10851,"Normal","",NA
1,"Ca44",25738.51212,"Normal","",NA
1,"Ca44",14811.98667,"Normal","",NA
1,"Ca44",14807.21003,"Normal","",NA
1,"Ca44",13073.88654,"Normal","",NA
1,"Ca44",24922.98459,"Normal","",NA
1,"Ca44",8730.711386,"Normal","",NA
1,"Ca44",11010.83486,"Normal","",NA
1,"Ca44",18043.49358,"Normal","",NA
1,"Ca44",9491.558134,"Normal","",NA
1,"Ca44",19999.87608,"Normal","",NA
1,"Ca44",15404.95732,"Normal","",NA
1,"Ca44",26557.37849,"Normal","",NA
1,"Ca44",21986.48343,"Normal","",NA
1,"Ca44",16850.55865,"Normal","",NA
1,"Ca44",20612.901355,"Normal","",NA
1,"Ca44",16002.6891,"Normal","",NA
1,"Ca44",20841.04616,"Normal","",NA
1,"Ca44",22221.22611,"Normal","",NA
1,"Ca44",10017.7213,"Normal","",NA
1,"Ca44",19522.16819,"Normal","",NA
1,"Ca44",23741.47858,"Normal","",NA
1,"Ca44",11486.64458,"Normal","",NA
1,"Ca44",17038.24091,"Normal","",NA
1,"Ca44",17841.61486,"Normal","",NA
1,"Ca44",9541.665795,"Normal","",NA
1,"Ca44",14356.41956,"Normal","",NA
1,"Ca44",9713.245619,"Normal","",NA
1,"Ca44",13286.11578,"Normal","",NA
1,"Ca44",13777.69757,"Normal","",NA
1,"Ca44",17033.55858,"Normal","",NA
1,"Ca44",11063.9313,"Normal","",NA
1,"Ca44",14244.95266,"Normal","",NA
1,"Ca44",13351.04569,"Normal","",NA
1,"Ca44",11471.7966,"Normal","",NA
1,"Ca44",15051.75379,"Normal","",NA
1,"Ca44",22701.74521,"Normal","",NA
1,"Ca44",9890.041252,"Normal","",NA
1,"Ca44",9002.571015,"Normal","",NA
1,"Ca44",10996.27501,"Normal","",NA
1,"Ca44",13461.73197,"Normal","",NA
1,"Ca44",14350.44797,"Normal","",NA
1,"Ca44",15647.62972,"Normal","",NA
1,"Ca44",10484.48136,"Normal","",NA
1,"Ca44",14728.52038,"Normal","",NA
1,"Ca44",14865.18156,"Normal","",NA
1,"Ca44",14267.37188,"Normal","",NA
1,"Ca44",12617.10314,"Normal","",NA
1,"Ca44",14023.88019,"Normal","",NA
1,"Ca44",13521.59583,"Normal","",NA
1,"Ca44",18117.61322,"Normal","",NA
1,"Ca44",16119.50612,"Normal","",NA
1,"Ca44",16495.47655,"Normal","",NA
1,"Ca44",11778.33956,"Normal","",NA
1,"Ca44",10165.77003,"Normal","",NA
1,"Ca44",16936.40837,"Normal","",NA
1,"Ca44",7946.337124,"Normal","",NA
1,"Ca44",9763.062886,"Normal","",NA
1,"Ca44",10537.48277,"Normal","",NA
1,"Ca44",13443.87493,"Normal","",NA
1,"Ca44",15322.7274,"Normal","",NA
1,"Ca44",15700.98661,"Normal","",NA
1,"Ca44",8238.324983,"Normal","",NA
1,"Ca44",12356.64745,"Normal","",NA
